Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
craftable_mob_rumor_trap_description		Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Mettre de la Corde sur une loaction attrapera des animaux	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals	Putting Rope on location (or any harvestable) will trap animals
craftable_mob_rumor_trap_bear_name		Bear bait	Bear bait	Appât à Ours	Bear bait	Bear bait	Bear bait	Bear bait	Bear bait	Bear bait	Bear bait	Bear bait	Bear bait
craftable_mob_rumor_trap_bear_description		Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	utilise une Corde et de la Viande crue sur une Forêt (ou n'importe quel location qui a des Ours dedans) pour garantir d'attraper un Ours	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear	Use a Rope and Raw Meat on a Forest (or any location that has bears in it) to guarantee getting a bear
craftable_mob_rumor_trap_giant_snail_name		Giant Snail bait	Giant Snail bait	Appât à Escargot Géant	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait	Giant Snail bait
craftable_mob_rumor_trap_giant_snail_description		Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	utilise une Corde et un Algue sur une plaine (ou n'importe quel location qui a des Escargot Géant dedans) pour garantir d'attraper un Escargot Géant	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail	Use a Rope and Seaweed on a Plains or a Jungle or a Forest (or any location that has Giant Snails in it) to guarantee getting a Giant Snail
craftable_mob_rumor_trap_mosquito_name		Mosquito bait	Mosquito bait	Appât à Moustique	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait	Mosquito bait
craftable_mob_rumor_trap_mosquito_description		Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	utilise une Corde et de la Viande crue sur une Source ou un Puits pour garantir d'attraper un Moustique	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito	Use a Rope and Villager on a Spring or a Well to guarantee getting a Mosquito
craftable_mob_rumor_trap_rat_name		Rat bait	Rat bait	Appât à Rat	Rat bait	Rat bait	Rat bait	Rat bait	Rat bait	Rat bait	Rat bait	Rat bait	Rat bait
craftable_mob_rumor_trap_rat_description		Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	utilise une Corde et de l'Ordures sur une Forêt (ou n'importe quel location qui a des Rats dedans) pour garantir d'attraper un Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat	Use a Rope and Goop on a Forest (or any location that has Rats in it) to guarantee getting a Rat
craftable_mob_rumor_trap_seagull_name		Seagull bait	Seagull bait	Appât à Mouette	Seagull bait	Seagull bait	Seagull bait	Seagull bait	Seagull bait	Seagull bait	Seagull bait	Seagull bait	Seagull bait
craftable_mob_rumor_trap_seagull_description		Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	utilise une Corde et du Poisson crue sur une Source (ou n'importe quel location qui a des Mouettes dedans) pour garantir d'attraper une Mouette	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull	Use a Rope and Raw Fish on a Spring (or any location that has Seagulls in it) to guarantee getting a Seagull
craftable_mob_rumor_trap_snake_name		Snake bait	Snake bait	Appât à Serpent	Snake bait	Snake bait	Snake bait	Snake bait	Snake bait	Snake bait	Snake bait	Snake bait	Snake bait
craftable_mob_rumor_trap_snake_description		Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	utilise une Corde et un Lapin sur une Jungle (ou n'importe quel location qui a des Serpents dedans) pour garantir d'attraper un Serpent	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake	Use a Rope and Rabbit on a Jungle (or any location that has Snakes in it) to guarantee getting a Snake
craftable_mob_rumor_trap_wolf_name		Wolf bait	Wolf bait	Appât à Loup	Wolf bait	Wolf bait	Wolf bait	Wolf bait	Wolf bait	Wolf bait	Wolf bait	Wolf bait	Wolf bait
craftable_mob_rumor_trap_wolf_description		Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	utilise une Corde et un Os sur une Forêt (ou n'importe quel location qui a des Loups dedans) pour garantir d'attraper un Loup	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf	Use a Rope and Bone on a Forest (or any location that has Wolfs in it) to guarantee getting a Wolf
craftable_mob_rumor_trap_rabbit_name		Rabbit bait	Rabbit bait	Appât à Lapin	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait	Rabbit bait
craftable_mob_rumor_trap_rabbit_description		Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Utilise une Corde et une Carotte sur un Buisson (ou n'importe quel location qui a des Lapins dedans) pour garantir d'attraper un Lapin	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit	Use a Rope and Carrot on a Berry Bush (or any location that has Rabbits in it) to guarantee getting a Rabbit
craftable_mob_rumor_trap_goblin_name		Goblin bait	Goblin bait	Appât à Goblin	Goblin bait	Goblin bait	Goblin bait	Goblin bait	Goblin bait	Goblin bait	Goblin bait	Goblin bait	Goblin bait
craftable_mob_rumor_trap_goblin_description		Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	utilise une Corde et un Lingot d'or sur une Forêt (ou n'importe quel location qui a des Goblins dedans) pour garantir d'attraper un Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin	Use a Rope and Gold Bar on a Forest (or any location that has Goblins in it) to guarantee getting a Goblin
craftable_mob_rumor_trap_ogre_name		Ogre bait	Ogre bait	Appât à Ogre	Ogre bait	Ogre bait	Ogre bait	Ogre bait	Ogre bait	Ogre bait	Ogre bait	Ogre bait	Ogre bait
craftable_mob_rumor_trap_ogre_description		Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	utilise une Corde et une Vache ou un Mouton sur une Forêt (ou n'importe quel location qui a des Ogres dedans) pour garantir d'attraper un Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre	Use a Rope and Cow or Sheep on a Forest (or any location that has Ogres in it) to guarantee getting a Ogre
craftable_mob_rumor_trap_orc_wizard_name		Orc Wizard bait	Orc Wizard bait	Appât à Sorcier Orque	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait	Orc Wizard bait
craftable_mob_rumor_trap_orc_wizard_description		Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	utilise une Corde et un Cadavre sur un Vieux Village (ou n'importe quel location qui a des Sorciers Orques dedans) pour garantir d'attraper un Sorcier Orque	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard	Use a Rope and Corpse on a Old Village (or any location that has Orc Wizards in it) to guarantee getting a Orc Wizard
craftable_mob_rumor_trap_monkey_name		Monkey bait	Monkey bait	Appât à Singe	Monkey bait	Monkey bait	Monkey bait	Monkey bait	Monkey bait	Monkey bait	Monkey bait	Monkey bait	Monkey bait
craftable_mob_rumor_trap_monkey_description		Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	utilise une Corde et une Banane sur une Jungle (ou n'importe quel location qui a des Singes dedans) pour garantir d'attraper un Singe	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey	Use a Rope and Banana on a Jungle (or any location that has Monkeys in it) to guarantee getting a Monkey
craftable_mob_rumor_trap_feral_cat_name		Feral Cat Bait	Feral Cat Bait	Appât à Chat Sauvage	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait	Feral Cat Bait
craftable_mob_rumor_trap_feral_cat_description		Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	utilise une Corde et du Lait sur une Forêt (ou n'importe quel location qui a des Chat Sauvages dedans) pour garantir d'attraper un Chat Sauvage	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat	Use a Rope and Milk on a Forest (or any location that has Feral Cats in it) to guarantee getting a Feral Cat
craftable_mob_rumor_trap_tiger_name		Tiger Bait	Tiger Bait	Appât à Tigre	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait	Tiger Bait
craftable_mob_rumor_trap_tiger_description		Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	utilise une Corde et une Poule sur une Jungle (ou n'importe quel location qui a des Tigres dedans) pour garantir d'attraper un Tigre	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger	Use a Rope and Chicken on a Jungle (or any location that has Tigers in it) to guarantee getting a Tiger
craftable_mob_rumor_trap_merman_name		Merman Bait	Merman Bait	Appât à Triton	Merman Bait	Merman Bait	Merman Bait	Merman Bait	Merman Bait	Merman Bait	Merman Bait	Merman Bait	Merman Bait
craftable_mob_rumor_trap_merman_description		Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	utilise une Corde et un Milkshake sur une Source ou un Puits pour garantir d'attraper un Triton	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman	Use a Rope and Milkshake on a Spring or a Well to guarantee getting a Merman
craftable_mob_rumor_trap_frog_man_name		Frog Man Bait	Frog Man Bait	Appât à Homme-Batracien	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait	Frog Man Bait
craftable_mob_rumor_trap_frog_man_description		Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	utilise une Corde et une Bouteille d'eau sur une Catacombes (ou n'importe quel location qui a des Homme-Batraciens dedans) pour garantir d'attraper un Homme-Batracien	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man	Use a Rope and Bottle of Water on a Catacomb (or any location that has Frog Mans in it) to guarantee getting a Frog Man
